CountyName,yw,weeklyCasesSum,weeklyCases,PopulationCensus16
Carlow,2020-12-20,1361.5240236472557,10.037036665295773,56932
Carlow,2020-12-27,1501.7916110447557,-6.022221999170142,56932
Carlow,2021-01-03,2162.730475454427,499.3425740984144,56932
Carlow,2021-01-10,3150.8767351527144,-193.46388172355546,56932
Carlow,2021-01-17,3656.74338308358,-809.487007056038,56932
Carlow,2021-01-24,3981.4415192058686,301.11109995884544,56932
Carlow,2021-01-31,4208.780399674799,83.80925615521801,56932
Carlow,2021-02-07,4383.926689484196,45.16666499382518,56932
Carlow,2021-02-14,4491.824833636118,-15.055554997941726,56932
Carlow,2021-02-21,4588.431311539582,55.95647940901745,56932
Carlow,2021-02-28,4664.46186427919,-9.284258915397913,56932
Carlow,2021-03-07,4718.661862271782,-1.2546295831607495,56932
Carlow,2021-03-14,4792.183155845067,41.151850327708416,56932
Carlow,2021-03-21,4841.364635505013,-43.661109494029915,56932
Carlow,2021-03-28,4868.71556041794,2.509259166317861,56932
Carlow,2021-04-04,4883.520189499251,9.28425891540428,56932
Carlow,2021-04-11,4913.380373578504,27.601850829558316,56932
Carlow,2021-04-18,4959.801668155493,1.5055554997925356,56932
Carlow,2021-04-25,5006.724814565749,-16.05925866446796,56932
Carlow,2021-05-02,5049.884072226516,-4.265740582755825,56932
Carlow,2021-05-09,5086.268330138207,-3.0111109995877996,56932
Carlow,2021-05-16,5111.109995884814,-4.767592416006664,56932
Carlow,2021-05-23,5180.365548875348,55.95647940900926,56932
Carlow,2021-05-30,5243.849805783341,-50.18518332646727,56932
Carlow,2021-06-06,5310.847025524185,9.284258915391547,56932
Carlow,2021-06-13,5371.82202326585,-9.53518483202879,56932
Carlow,2021-06-20,5397.165540845722,-29.609258162614424,56932
Carlow,2021-06-27,5406.449799761119,19.572221497317514,56932
Carlow,2021-07-04,5437.062761590267,37.38796157822617,56932
Carlow,2021-07-11,5527.647017494554,38.64259116138874,56932
Carlow,2021-07-18,5710.572010719554,32.369443245572256,56932
Carlow,2021-07-25,5875.93218978029,-109.90555148497515,56932
Carlow,2021-08-01,6001.89699992974,-21.830554747023598,56932
Carlow,2021-08-08,6196.36458531983,107.89814415192814,56932
Carlow,2021-08-15,6414.168280956728,-45.166664993834274,56932
Carlow,2021-08-22,6619.927532595276,-35.38055424515733,56932
Carlow,2021-08-29,6830.70530256647,17.062962330996925,56932
Carlow,2021-09-05,7053.276590619385,6.7749997490745955,56932
Carlow,2021-09-12,7292.408989170036,4.76759241601394,56932
Carlow,2021-09-19,7543.083979885779,-5.018518332642998,56932
Carlow,2021-09-26,7823.117302847504,17.815740080890464,56932
Carlow,2021-10-03,8098.38303339322,-34.12592466199203,56932
Carlow,2021-10-10,8458.210797844044,89.32962632111685,56932
Carlow,2021-10-17,8892.814485451312,-9.786110748662395,56932
Carlow,2021-10-24,9308.598729311158,-93.59536690386813,56932
Carlow,2021-10-31,9829.771858156599,124.20832873301879,56932
Carlow,2021-11-07,10555.700534974028,99.36666298639284,56932
Carlow,2021-11-14,11431.933835854301,-54.450923909145786,56932
Carlow,2021-11-21,12320.713432566172,-137.75832823124438,56932
Carlow,2021-11-28,13306.601359014758,84.56203390511655,56932
Carlow,2021-12-05,14182.332808061743,-207.26480713831552,56932
Carlow,2021-12-12,14862.843893968771,92.15254288323285,56932
Carlow,2021-12-19,15578.986460037515,-25.15532314241409,56932
Carlow,2021-12-26,16610.793829229842,54.63911834671717,56932
Carlow,2022-01-02,19277.885397115344,436.36016902369374,56932
Carlow,2022-01-09,21981.11029699593,57.838423783759936,56932
Carlow,2022-01-16,24108.209292288513,-152.93934618742878,56932
Carlow,2022-01-23,26679.19623410384,32.05578584979003,56932
Carlow,2022-01-30,29593.1989039556,-323.0671176641863,56932
Carlow,2022-02-06,30745.952564964715,-449.3455852094312,56932
Carlow,2022-02-13,31700.223825917612,94.4108761329453,56932
Carlow,2022-02-20,32437.695094900173,-165.17198462326996,56932
Carlow,2022-02-27,33162.62006805112,-88.89050596701145,56932
Carlow,2022-03-06,33851.41170920696,343.70577430716367,56932
Carlow,2022-03-13,34661.65149401291,325.0117935181552,56932
